columnName,group1,group2,group3,group4,comments
min_HHSIZE,SURVEY,VEHICLE,,,
min_HHSTATE,SURVEY,VEHICLE,,,
min_HHSTFIPS,SURVEY,VEHICLE,,,
min_HHVEHCNT,SURVEY,VEHICLE,,,
min_HOMEOWN,SURVEY,VEHICLE,,,
min_HTEEMPDN,SURVEY,VEHICLE,,,
min_HTHTNRNT,SURVEY,VEHICLE,,,
min_HTPPOPDN,SURVEY,VEHICLE,,,
min_HTRESDN,SURVEY,VEHICLE,,,
min_HYBRID,SURVEY,VEHICLE,,,
min_LIF_CYC,SURVEY,VEHICLE,,,
min_MAKE,SURVEY,VEHICLE,,,
min_MODEL,SURVEY,VEHICLE,,,
min_MSACAT,SURVEY,VEHICLE,,,
min_MSASIZE,SURVEY,VEHICLE,,,
min_NUMADLT,SURVEY,VEHICLE,,,
min_OD_READ,SURVEY,VEHICLE,,,
min_PERSONID,SURVEY,VEHICLE,,,
min_RAIL,SURVEY,VEHICLE,,,
min_SMPLSRCE,SURVEY,VEHICLE,,,
min_TDAYDATE,SURVEY,VEHICLE,,,
min_TRAVDAY,SURVEY,VEHICLE,,,
min_URBAN,SURVEY,VEHICLE,,,
min_URBANSIZE,SURVEY,VEHICLE,,,
min_URBRUR,SURVEY,VEHICLE,,,
min_VEHAGE,SURVEY,VEHICLE,,,
min_VEHOWNED,SURVEY,VEHICLE,,,
min_VEHOWNMO,SURVEY,VEHICLE,,,
min_VEHTYPE,SURVEY,VEHICLE,,,
min_VEHYEAR,SURVEY,VEHICLE,,,
min_WHOMAIN,SURVEY,VEHICLE,,,
min_WRKCOUNT,SURVEY,VEHICLE,,,
min_WTHHFIN,SURVEY,VEHICLE,,,
MSACAT,SURVEY,HOUSEHOLD,HOME AREA,,
MSASIZE,SURVEY,HOUSEHOLD,HOME AREA,,
NBIKETRP,SURVEY,PERSON,HABITS,,
NOCONG,SURVEY,PERSON,,,
NONHHCNT,SURVEY,JOURNEY,TRAVELLERS,,
NUMADLT,SURVEY,HOUSEHOLD,FAMILY,,
NUMONTRP,SURVEY,JOURNEY,TRAVELLERS,,
NUMTRANS,SURVEY,JOURNEY,PT FEATURES,,
NWALKTRP,SURVEY,PERSON,HABITS,,
OBHTNRNT,SURVEY,JOURNEY,ORIGIN AREA,,
OBHUR,SURVEY,JOURNEY,ORIGIN AREA,,
OBPPOPDN,SURVEY,JOURNEY,ORIGIN AREA,,
OBRESDN,SURVEY,JOURNEY,ORIGIN AREA,,
OCCAT,SURVEY,PERSON,,,
ONTD_P1,DROP,,,,
ONTD_P10,DROP,,,,
ONTD_P11,DROP,,,,
ONTD_P12,DROP,,,,
ONTD_P13,DROP,,,,
ONTD_P2,DROP,,,,
ONTD_P3,DROP,,,,
ONTD_P4,DROP,,,,
ONTD_P5,DROP,,,,
ONTD_P6,DROP,,,,
ONTD_P7,DROP,,,,
ONTD_P8,DROP,,,,
ONTD_P9,DROP,,,,
OTEEMPDN,SURVEY,JOURNEY,ORIGIN AREA,,
OTHTNRNT,SURVEY,JOURNEY,ORIGIN AREA,,
OTPPOPDN,SURVEY,JOURNEY,ORIGIN AREA,,
OTRESDN,SURVEY,JOURNEY,ORIGIN AREA,,
OUTCNTRY,SURVEY,PERSON,,,
OUTOFTWN,SURVEY,PERSON,,,
PARA,SURVEY,HOUSEHOLD,HABITS,,
PAYPROF,SURVEY,PERSON,WORK,,
PC,SURVEY,HOUSEHOLD,HABITS,,
PERSONID,DROP,,,,
PHYACT,SURVEY,PERSON,HABITS,,
PLACE,SURVEY,HOUSEHOLD,PREFERENCE,,
PRICE,SURVEY,HOUSEHOLD,PREFERENCE,,
PRMACT,SURVEY,PERSON,,,
PROXY,SURVEY,PERSON,,,
PSGR_FLG,SURVEY,JOURNEY,TRAVELLERS,,
PTRANS,SURVEY,HOUSEHOLD,PREFERENCE,,
PTUSED,SURVEY,PERSON,HABITS,,
PUBTIME,SURVEY,PERSON,HABITS,,
PUBTRANS,DROP,,,,seems to be redundant compared to label column
R_AGE,SURVEY,PERSON,,,
